yraw	yfiltered
271.4453093	1.687327981
272.7204213	0.604612168
273.9630557	-0.323295206
275.5473325	-1.103050537
276.0996645	-1.754364374
279.4598804	-2.237180494
279.9257484	-2.643573577
279.7328398	-2.976398993
283.3692757	-3.068538599
283.1613158	-3.23378861
285.251909	-3.196302041
283.798311	-3.360464402
284.2900302	-3.353717268
287.422968	-3.018134527
287.800066	-2.941481516
287.8444491	-2.91300033
289.2084295	-2.68032486
291.387811	-2.26913077
294.1047215	-1.692401081
294.5802517	-1.570420362
297.1606006	-0.939365954
299.9494206	-0.190036438
300.3814521	-0.092967726
300.2157189	-0.243419513
300.7814301	-0.218412071
303.2996056	0.499769766
302.489277	-0.090304822
307.3179722	1.637348257
314.180489	4.469719052
309.8415315	2.128621454
306.2006444	-0.171682142
305.5193222	-1.153773546
307.528074	-0.732709333
314.5999378	2.712799158
312.7744705	0.942720503
310.9142269	-1.021328838
313.1784815	-0.390845741
313.9043963	-0.784168795
317.1587433	0.610835589
318.7524015	0.868032366
325.0344606	4.730691701
319.6016854	-0.402535271
321.6286592	0.21592677
320.53822	-1.706058092
321.8495776	-1.665653393
324.1000477	-0.787774555
325.968873	-0.189006418
328.3703318	0.935456723
327.1161868	-1.228736103
329.9286402	0.34941883
332.0650881	1.362880014
336.1133216	4.256011508
333.5811026	0.885414145
333.549381	-0.086139955
333.2965061	-1.258925237
333.2015167	-2.256843433
335.2802026	-1.068510801
338.376643	1.181605048
334.2747726	-3.71465686
334.2050849	-4.551325269
338.0448296	-1.438636437
339.6497873	-0.524914257
347.0166131	6.145702623
344.3761108	2.89237459
341.1049157	-0.912637293
342.1549043	-0.415889982
344.7057632	1.556133107
343.2496954	-0.308640696
346.8867617	2.707295922
344.7838757	0.328724348
343.986341	-0.757325312
343.2577118	-1.71901397
342.9345686	-2.260866888
343.3798414	-2.089113437
344.7485338	-1.116497949
343.9172351	-1.991457053
343.792195	-2.235186666
346.476467	-0.238141863
348.3865791	1.067430481
349.2177057	1.498794243
351.9545403	3.269833654
352.2794686	3.23867562
350.0295116	1.467626333
349.3479433	0.817932867
349.3095258	0.596089068
353.3184206	2.767004795
353.7482092	2.689467274
354.7224669	2.869218126
355.9662152	3.119680136
357.1158359	3.240858514
357.7335189	3.038140088
359.052107	3.088569067
360.5368845	3.119843453
359.3813124	2.050971468
357.0254311	0.600946106
359.91893	0.992947578
365.573674	2.076202422
359.5245295	-0.411024038
358.1440908	-1.404198259
356.4961384	-2.389777236
356.6802046	-2.900122973
358.5993959	-3.06789057
355.8092924	-4.091580518
354.6660277	-4.719677672
354.5046005	-5.130675584
356.8118411	-5.198336642
356.6782818	-5.518259704
357.5504479	-5.671642967
356.7632609	-5.873740003
355.8758927	-5.956456952
354.3226238	-5.931159705
350.4055484	-5.825228274
355.327742	-5.283324182
353.5148151	-4.785269771
353.0292087	-4.077959925
354.7037886	-3.168972947
359.7196966	-2.065740843
354.1160296	-0.77841837
356.6745083	0.750531681
