raw	slope	new
8575.979	460.218	8115.762
8446.968	472.329	7974.639
8326.756	484.44	7842.316
8211.902	496.551	7715.352
8197.372	508.662	7688.71
7959.23	520.773	7438.457
7901.265	532.884	7368.381
7800.313	544.995	7255.317
7732.621	557.106	7175.515
7642.694	569.217	7073.478
7548.783	581.328	6967.455
7491.177	593.439	6897.738
7457.804	605.55	6852.254
7395.119	617.661	6777.458
7398.358	629.772	6768.586
7356.885	641.883	6715.002
7254.283	653.994	6600.289
7246.953	666.105	6580.848
7192.739	678.216	6514.523
7171.091	690.327	6480.764
7139.581	702.438	6437.143
7189.357	714.549	6474.809
7187.428	726.66	6460.768
7230.198	738.771	6491.427
7272.77	750.882	6521.888
7334.769	762.993	6571.775
7342.234	775.104	6567.13
7434.094	787.215	6646.879
7496.838	799.326	6697.512
7585.958	811.437	6774.521
7660.393	823.548	6836.845
7744.535	835.659	6908.876
7859.602	847.77	7011.832
8010.339	859.881	7150.458
8129.335	871.992	7257.343
8241.848	884.103	7357.745
8377.695	896.214	7481.481
8506.609	908.325	7598.284
8674.287	920.436	7753.851
8948.258	932.547	8015.711
9027.288	944.658	8082.63
9244.822	956.769	8288.054
9419.792	968.88	8450.912
9653.717	980.991	8672.726
9892.339	993.102	8899.237
10133.08	1005.213	9127.864
10404.53	1017.324	9387.207
10549.3	1029.435	9519.863
10579.25	1041.546	9537.707
10583.6	1053.657	9529.947
10529.76	1065.768	9463.988
10466.85	1077.879	9388.969
10322.56	1089.99	9232.573
10190.82	1102.101	9088.718
10048.56	1114.212	8934.344
9929.791	1126.323	8803.468
9660.168	1138.434	8521.734
9576.639	1150.545	8426.094
9399.807	1162.656	8237.15
9315.873	1174.767	8141.106
9149.22	1186.878	7962.342
8982.567	1198.989	7783.578
8854.555	1211.1	7643.455
8719.819	1223.211	7496.608
8566.618	1235.322	7331.296
8515.348	1247.433	7267.915
8454.104	1259.544	7194.561
8427.688	1271.655	7156.033
8287.525	1283.766	7003.759
8171.172	1295.877	6875.295
8107.004	1307.988	6799.016
8069.981	1320.099	6749.882
8054.305	1332.21	6722.095
8026.016	1344.321	6681.694
7961.417	1356.432	6604.985
7901.07	1368.543	6532.527
7879.712	1380.654	6499.058
7872.592	1392.765	6479.827
7846.241	1404.876	6441.365
7799.143	1416.987	6382.156
7815.487	1429.098	6386.389
7865.333	1441.209	6424.124
7894.268	1453.32	6440.948
7987.465	1465.431	6522.034
7952.799	1477.542	6475.257
7961.101	1489.653	6471.448
8061.339	1501.764	6559.575
8165.796	1513.875	6651.921
8207.308	1525.986	6681.322
8295.311	1538.097	6757.213
8351.438	1550.208	6801.229
8436.681	1562.319	6874.362
8580.845	1574.43	7006.415
8730.486	1586.541	7143.945
8880.128	1598.652	7281.476
9046.997	1610.763	7436.234
9111.631	1622.874	7488.757
9193.233	1634.985	7558.249
9394.628	1647.096	7747.532
9614.62	1659.207	7955.413
9868.738	1671.318	8197.42
10181.62	1683.429	8498.195
10360.26	1695.54	8664.717
10510.59	1707.651	8802.938
10726.2	1719.762	9006.439
10896.69	1731.873	9164.819
11174.75	1743.984	9430.766
11278.15	1756.095	9522.056
11379.52	1768.206	9611.311
11464.47	1780.317	9684.154
11443.66	1792.428	9651.23
11439.83	1804.539	9635.295
11436.01	1816.65	9619.359
11390.83	1828.761	9562.072
11243.93	1840.872	9403.055
11049.27	1852.983	9196.29
10902.09	1865.094	9037.001
10691.71	1877.205	8814.502
10559.22	1889.316	8669.9
10352.87	1901.427	8451.44
10225.34	1913.538	8311.798
10011.07	1925.649	8085.417
9818.91	1937.76	7881.15
9796.116	1949.871	7846.245
9605.997	1961.982	7644.015
9481.602	1974.093	7507.509
9380.739	1986.204	7394.535
9355.048	1998.315	7356.733
9256.578	2010.426	7246.152
9199.754	2022.537	7177.217
9142.932	2034.648	7108.284
9068.213	2046.759	7021.454
8978.507	2058.87	6919.637
8843.08	2070.981	6772.099
8851.398	2083.092	6768.307
8733.746	2095.203	6638.543
8723.805	2107.314	6616.491
8733.146	2119.425	6613.721
8674.42	2131.536	6542.884
8625.282	2143.647	6481.635
8674.42	2155.758	6518.662
8674.42	2167.869	6506.551
6888.696	0	6888.696
6928.756	13.546	6915.21
6922.872	27.092	6895.78
6899.279	40.638	6858.641
7028.74	54.184	6974.556
7079.953	67.73	7012.223
7143.934	81.276	7062.658
7186.08	94.822	7091.258
7258.268	108.368	7149.899
7371.734	121.914	7249.82
7576.473	135.46	7441.013
7599.853	149.006	7450.847
7737.78	162.552	7575.228
7858.748	176.098	7682.65
8031.258	189.644	7841.614
8078.68	203.19	7875.49
8270.898	216.736	8054.163
8457.794	230.282	8227.512
8669.565	243.828	8425.737
9063.45	257.374	8806.076
9369.66	270.92	9098.74
9544.358	284.466	9259.893
9762.036	298.012	9464.024
9774.646	311.558	9463.089
9873.75	325.104	9548.646
9761.191	338.65	9422.541
9679.22	352.196	9327.023
9597.248	365.742	9231.506
9513.372	379.288	9134.084
9320.505	392.834	8927.671
9125.455	406.38	8719.075
9014.339	419.926	8594.413
8848.609	433.472	8415.138
8676.06	447.018	8229.042
8565.671	460.564	8105.107
8445.955	474.11	7971.845
8303.145	487.656	7815.489
8229.248	501.202	7728.046
8111.412	514.748	7596.664
8043.677	528.294	7515.383
7937.742	541.84	7395.902
7850.635	555.386	7295.249
7870.335	568.932	7301.403
7666.901	582.478	7084.423
7662.607	596.024	7066.583
7567.036	609.57	6957.466
7478.244	623.116	6855.128
7409.568	636.662	6772.906
7370.282	650.208	6720.074
7337.449	663.754	6673.695
7324.164	677.3	6646.864
7231.115	690.8459	6540.269
7240.431	704.392	6536.039
7262.412	717.938	6544.474
7217.08	731.4839	6485.596
7283.796	745.03	6538.766
7306.074	758.576	6547.498
7322.698	772.1219	6550.576
7318.482	785.668	6532.814
7419.297	799.214	6620.083
7438.266	812.7599	6625.506
7524.658	826.306	6698.352
7583.377	839.852	6743.525
7638.402	853.3979	6785.004
7771.768	866.944	6904.824
7926.825	880.49	7046.335
8082.341	894.0359	7188.305
8167.506	907.582	7259.924
8289.917	921.128	7368.789
8404.777	934.674	7470.104
8526.107	948.22	7577.888
8647.321	961.766	7685.555
8807.496	975.312	7832.184
9018.039	988.858	8029.181
9166.263	1002.404	8163.859
9502.126	1015.95	8486.176
9696.1	1029.496	8666.604
10035.44	1043.042	8992.398
10158.99	1056.588	9102.397
10416.83	1070.134	9346.694
10529.81	1083.68	9446.134
10584.59	1097.226	9487.367
10618.09	1110.772	9507.322
10625.36	1124.318	9501.037
10584.88	1137.864	9447.02
10489.47	1151.41	9338.063
10337.53	1164.956	9172.575
10165.66	1178.502	8987.158
9947.203	1192.048	8755.155
9862.27	1205.594	8656.676
9703.846	1219.14	8484.706
9563.104	1232.686	8330.418
9354.917	1246.232	8108.685
9336.184	1259.778	8076.406
9132.064	1273.324	7858.74
9038.338	1286.87	7751.468
8892.514	1300.416	7592.098
8875.507	1313.962	7561.545
8762.275	1327.508	7434.768
8649.045	1341.054	7307.991
8556.865	1354.6	7202.265
8483.424	1368.146	7115.278
8364.641	1381.692	6982.949
8301.337	1395.238	6906.099
8256.526	1408.784	6847.742
8258.795	1422.33	6836.465
8180.062	1435.876	6744.186
8167.415	1449.422	6717.993
8110.157	1462.968	6647.189
8080.405	1476.514	6603.891
8061.123	1490.06	6571.063
8042.095	1503.606	6538.489
8009.062	1517.152	6491.91
7978.656	1530.698	6447.958
8017.756	1544.244	6473.512
8056.437	1557.79	6498.646
8087.198	1571.336	6515.862
8087.112	1584.882	6502.23
8141.529	1598.428	6543.102
8171.196	1611.974	6559.222
8247.229	1625.52	6621.709
8389.598	1639.066	6750.532
8399.682	1652.612	6747.07
8454.412	1666.158	6788.254
8651.182	1679.704	6971.478
8850.561	1693.25	7157.311
8898.645	1706.796	7191.849
9024.764	1720.342	7304.422
9107.342	1733.888	7373.454
9200.6	1747.434	7453.166
9374.403	1760.98	7613.423
9556.155	1774.526	7781.629
9737.908	1788.072	7949.836
9969.153	1801.618	8167.535
10237.55	1815.164	8422.385
10377.11	1828.71	8548.396
10625.85	1842.256	8783.595
10898.14	1855.802	9042.342
11153.96	1869.348	9284.609
11407.71	1882.894	9524.815
11586.55	1896.44	9690.111
11666.51	1909.986	9756.527
11822.74	1923.532	9899.208
11837.05	1937.078	9899.973
11852.43	1950.624	9901.803
11788.54	1964.17	9824.37
11785.49	1977.716	9807.774
11782.21	1991.262	9790.952
11629.32	2004.808	9624.509
11549.07	2018.354	9530.713
11468.82	2031.9	9436.918
11310.06	2045.446	9264.613
11100.91	2058.992	9041.918
10871.5	2072.538	8798.966
10677.92	2086.084	8591.839
10501.33	2099.63	8401.7
10388.48	2113.176	8275.303
10258.24	2126.722	8131.516
10148.12	2140.268	8007.85
9954.425	2153.814	7800.611
9805.644	2167.36	7638.284
9787.728	2180.906	7606.821
9620.877	2194.452	7426.425
9513.723	2207.998	7305.725
9428.45	2221.544	7206.906
9371.736	2235.09	7136.646
9250.524	2248.636	7001.889
9219.229	2262.182	6957.048
9187.936	2275.728	6912.208
9129.364	2289.274	6840.09
9095.777	2302.82	6792.958
9009.694	2316.366	6693.328
9044.001	2329.912	6714.089
8943.117	2343.458	6599.659
8910.057	2357.004	6553.053
8998.948	2370.55	6628.398
8944.093	2384.096	6559.997
8910.91	2397.642	6513.269
8944.093	2411.188	6532.905
8944.093	2424.734	6519.359
7458.914	0	7458.914
7490.052	9.068	7480.984
7540.66	18.136	7522.524
7518.585	27.204	7491.381
7667.395	36.272	7631.123
7739.236	45.34	7693.896
7874.784	54.408	7820.375
7896.39	63.476	7832.914
8001.109	72.544	7928.565
8234.608	81.612	8152.997
8407.911	90.68	8317.231
8443.447	99.748	8343.699
8543.754	108.816	8434.938
8669.531	117.884	8551.647
8916.521	126.952	8789.568
9012.546	136.02	8876.526
9197.652	145.088	9052.564
9456.594	154.156	9302.438
9676.848	163.224	9513.624
10113.32	172.292	9941.03
10330.84	181.36	10149.48
10254.13	190.428	10063.71
10265.26	199.496	10065.76
10208.91	208.564	10000.35
10218.91	217.632	10001.27
9941.059	226.7	9714.358
9795.091	235.768	9559.323
9649.123	244.836	9404.287
9533.338	253.904	9279.434
9299.106	262.972	9036.135
9119.919	272.04	8847.879
8998.94	281.108	8717.832
8845.581	290.176	8555.405
8700.284	299.244	8401.04
8620.083	308.312	8311.771
8504.608	317.38	8187.229
8372.627	326.448	8046.179
8308.41	335.516	7972.894
8161.876	344.584	7817.292
8080.309	353.652	7726.657
8025.195	362.72	7662.475
7940.09	371.788	7568.302
7973.383	380.856	7592.527
7762.968	389.924	7373.044
7776.431	398.992	7377.438
7742.496	408.06	7334.436
7698.296	417.128	7281.168
7605.366	426.196	7179.17
7558.443	435.264	7123.179
7509.256	444.332	7064.924
7503.2	453.4	7049.8
7383.874	462.468	6921.406
7411.721	471.536	6940.185
7471.598	480.604	6990.994
