freq	yrect	yhann
0	36949.72038	18541.15479
11.70638021	33801.44917	17922.34533
23.41276042	25321.81021	16164.70889
35.11914063	14054.76272	13542.79679
46.82552083	3213.506515	10447.20439
58.53190104	4493.377825	7302.557337
70.23828125	7609.496377	4484.034835
81.94466146	6449.250084	2252.561943
93.65104167	2669.570006	722.719541
105.3574219	1502.312743	139.8074497
117.0638021	4137.514024	456.0432559
128.7701823	4364.938088	426.7879798
140.4765625	2495.268002	238.8292127
152.1829427	316.6497352	44.37305496
163.8893229	2562.465958	94.88339057
175.5957031	3331.516314	128.5998194
187.3020833	2427.402557	93.11572381
199.0084635	472.1266171	37.12982164
210.7148437	1496.843445	43.01752199
222.421224	2543.543595	59.64840585
234.1276042	2267.328369	45.69665147
245.8339844	931.8333792	13.9177987
257.5403646	726.4344417	24.22061328
269.2467448	1874.678726	42.48821696
280.953125	2008.606033	40.46512853
292.6595052	1149.638733	22.02522358
304.3658854	208.2780098	3.356549106
316.0722656	1352.702472	22.56963985
327.7786458	1748.499546	30.98349796
339.485026	1251.695804	27.86370886
351.1914062	168.015785	19.14477178
362.8977865	935.759097	15.1594103
374.6041667	1511.301491	18.05339438
386.3105469	1310.114413	20.44735643
398.0169271	479.499386	22.51597879
409.7233073	543.1742479	26.28041374
421.4296875	1229.24564	29.49215755
433.1360677	1265.840045	28.93708983
444.8424479	667.950181	23.98519591
456.5488281	235.7374497	17.32263079
468.2552083	981.3027643	15.38905927
479.9615885	1205.010596	21.27741329
491.6679687	817.1033368	30.16651949
503.374349	33.98820493	39.9711584
515.0807292	748.7605063	50.73851538
526.7871094	1148.708508	62.41371905
538.4934896	995.3335931	74.02320955
550.1998698	399.1547716	83.68351124
561.90625	332.1913265	89.16272111
573.6126302	808.958423	88.71992222
585.3190104	821.5879043	81.84566662
597.0253906	390.0410944	69.56341718
608.7317708	258.0318809	54.17596728
620.438151	755.3651183	38.62451983
632.1445312	867.9793587	25.84210465
643.8509115	543.6578339	18.42948635
655.5572917	49.43189506	17.81108188
667.2636719	592.7122073	22.9068184
678.9700521	828.8126186	32.45190241
690.6764323	646.109842	45.56733843
702.3828125	157.3832798	60.60908205
714.0891927	403.8027472	75.21865171
725.7955729	725.5058105	86.89157472
737.5019531	671.9470666	93.58034908
749.2083333	306.292957	94.14581924
760.9147135	310.933436	88.54291676
772.6210937	652.7415663	77.73388693
784.327474	679.8243064	63.43194584
796.0338542	358.7122308	47.80985479
807.7402344	148.4929859	33.26353037
819.4466146	582.7585449	22.14367153
831.1529948	727.7964395	15.70711123
842.859375	514.3424865	11.91264461
854.5657552	56.71923237	6.924179881
866.2721354	420.6969914	2.599116108
877.9785156	673.2460453	13.19546123
889.6848958	585.7369685	26.06584524
901.391276	213.768587	38.6343288
913.0976562	257.2338528	48.87495291
924.8040365	574.1948359	55.15224302
936.5104167	590.4198319	56.52558862
948.2167969	310.9724344	52.94653276
959.9231771	181.8773527	45.29666746
971.6295573	519.8164468	35.28190969
983.3359375	616.8776186	25.29387024
995.0423177	405.6717394	18.3331943
1006.748698	63.94646966	16.64199095
1018.455078	430.7808589	18.30889416
1030.161458	630.7156779	20.14633534
1041.867839	526.7426908	21.09112635
1053.574219	180.1482806	21.24738791
1065.280599	255.8508027	20.82886087
1076.986979	530.5003929	19.81728944
1088.693359	530.216185	18.12137088
1100.39974	259.0106088	15.84682067
1112.10612	145.1711381	13.37252718
1123.8125	472.3555518	11.14706342
1135.51888	564.2924074	9.353543105
1147.22526	378.4768702	7.915935517
1158.931641	12.45876347	7.279131695
1170.638021	349.3880376	8.838224724
1182.344401	529.1829722	12.79883304
1194.050781	445.2751023	17.85938207
1205.757161	150.3179099	22.75340721
1217.463542	199.9344241	26.51534513
1229.169922	424.048087	28.50798386
1240.876302	411.729371	28.47585538
1252.582682	174.9219987	26.54244411
1264.289062	161.7232297	23.12256354
1275.995443	421.1519818	18.77462555
1287.701823	472.0513101	14.04880473
1299.408203	289.278104	9.414355631
1311.114583	34.05297449	5.431868242
1322.820964	332.4968365	3.861850642
1334.527344	459.3843545	6.02821274
1346.233724	355.0770302	9.085638772
1357.940104	78.66374779	11.79681775
1369.646484	225.9931098	13.81872933
1381.352865	401.7426832	15.11132112
1393.059245	361.7373269	15.9511005
1404.765625	130.3240373	16.8909527
1416.472005	170.4784563	18.41738163
1428.178385	384.4985369	20.4917458
1439.884766	401.923464	22.52507625
1451.591146	216.1960195	23.78190753
